"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"Razred - SKUPAJ" "Ženske" "6 let ali manj" "prviè vpisani v razred" 10125 9819 9737 9315 9415
"Razred - SKUPAJ" "Ženske" "6 let ali manj" "ponavljavci" 2 1 - 1 2
"Razred - SKUPAJ" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" 10463 10843 10633 10612 10280
"Razred - SKUPAJ" "Ženske" "7 let" "prviè vpisani v razred" 10425 10794 10601 10535 10241
"Razred - SKUPAJ" "Ženske" "7 let" "ponavljavci" 38 49 32 77 39
"Razred - SKUPAJ" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" 10767 10496 10895 10711 10651
"Razred - SKUPAJ" "Ženske" "8 let" "prviè vpisani v razred" 10726 10440 10841 10634 10604
"Razred - SKUPAJ" "Ženske" "8 let" "ponavljavci" 41 56 54 77 47
"Razred - SKUPAJ" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 9847 10830 10573 10972 10727
"Razred - SKUPAJ" "Ženske" "9 let" "prviè vpisani v razred" 9787 10756 10512 10874 10670
"Razred - SKUPAJ" "Ženske" "9 let" "ponavljavci" 60 74 61 98 57
"Razred - SKUPAJ" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" 9352 9894 10887 10663 11008
"Razred - SKUPAJ" "Ženske" "10 let" "prviè vpisani v razred" 9305 9837 10826 10580 10978
"Razred - SKUPAJ" "Ženske" "10 let" "ponavljavci" 47 57 61 83 30
"Razred - SKUPAJ" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 8884 9378 9957 10968 10687
"Razred - SKUPAJ" "Ženske" "11 let" "prviè vpisani v razred" 8828 9336 9902 10874 10657
"Razred - SKUPAJ" "Ženske" "11 let" "ponavljavci" 56 42 55 94 30
"Razred - SKUPAJ" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 8966 8949 9427 10029 10971
"Razred - SKUPAJ" "Ženske" "12 let" "prviè vpisani v razred" 8880 8870 9343 9887 10941
"Razred - SKUPAJ" "Ženske" "12 let" "ponavljavci" 86 79 84 142 30
"Razred - SKUPAJ" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 8452 8981 9008 9482 10044
"Razred - SKUPAJ" "Ženske" "13 let" "prviè vpisani v razred" 8385 8900 8924 9372 10006
"Razred - SKUPAJ" "Ženske" "13 let" "ponavljavci" 67 81 84 110 38
"Razred - SKUPAJ" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 8630 8458 8990 9007 9446
"Razred - SKUPAJ" "Ženske" "14 let" "prviè vpisani v razred" 8534 8349 8868 8849 9401
"Razred - SKUPAJ" "Ženske" "14 let" "ponavljavci" 96 109 122 158 45
"Razred - SKUPAJ" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 491 530 518 665 722
"Razred - SKUPAJ" "Ženske" "15 let" "prviè vpisani v razred" 465 506 487 640 703
"Razred - SKUPAJ" "Ženske" "15 let" "ponavljavci" 26 24 31 25 19
"Razred - SKUPAJ" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 62 47 47 40 64
"Razred - SKUPAJ" "Ženske" "16 let ali veè" "prviè vpisani v razred" 52 42 44 37 59
"Razred - SKUPAJ" "Ženske" "16 let ali veè" "ponavljavci" 10 5 3 3 5
"1. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 22276 21923 21945 21044 21500
"1. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 22140 21764 21797 20882 21355
"1. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 136 159 148 162 145
"1. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" 20281 19660 19532 18396 18662
"1. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" 20278 19659 19532 18394 18658
"1. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" 3 1 - 2 4
"1. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" 1920 2203 2289 2596 2779
"1. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" 1833 2087 2191 2476 2686
"1. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" 87 116 98 120 93
"1. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" 62 52 113 46 51
"1. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" 24 15 67 11 6
"1. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" 38 37 46 35 45
"1. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" 8 5 9 6 4
"1. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" 3 2 7 1 1
"1. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" 5 3 2 5 3
"1. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 2 1 - - 4
"1. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 1 - - - 4
