"RAZRED" "SPOL" "STAROST" "VRSTA VPISA" "2016/17" "2017/18" "2018/19" "2019/20" "2020/21"
"5. razred" "Moški" "15 let" "ponavljavci" 3 1 1 - 2
"5. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" - - - - -
"5. razred" "Moški" "16 let ali veè" "ponavljavci" - - - - -
"5. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 9421 9827 10851 10641 10974
"5. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 9361 9774 10783 10546 10943
"5. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 60 53 68 95 31
"5. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"5. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"5. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Ženske" "7 let" "prviè vpisani v razred" - - - - -
"5. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"5. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" - - - 2 -
"5. razred" "Ženske" "8 let" "prviè vpisani v razred" - - - 2 -
"5. razred" "Ženske" "8 let" "ponavljavci" - - - - -
"5. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" 36 37 29 35 24
"5. razred" "Ženske" "9 let" "prviè vpisani v razred" 36 37 29 35 24
"5. razred" "Ženske" "9 let" "ponavljavci" - - - - -
"5. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" 8789 9194 10061 9707 10006
"5. razred" "Ženske" "10 let" "prviè vpisani v razred" 8787 9194 10061 9691 10006
"5. razred" "Ženske" "10 let" "ponavljavci" 2 - - 16 -
"5. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 524 517 676 801 858
"5. razred" "Ženske" "11 let" "prviè vpisani v razred" 494 492 638 757 846
"5. razred" "Ženske" "11 let" "ponavljavci" 30 25 38 44 12
"5. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 47 55 51 66 65
"5. razred" "Ženske" "12 let" "prviè vpisani v razred" 33 43 38 49 54
"5. razred" "Ženske" "12 let" "ponavljavci" 14 12 13 17 11
"5. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 17 16 23 13 16
"5. razred" "Ženske" "13 let" "prviè vpisani v razred" 7 7 14 7 10
"5. razred" "Ženske" "13 let" "ponavljavci" 10 9 9 6 6
"5. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 8 7 11 17 4
"5. razred" "Ženske" "14 let" "prviè vpisani v razred" 4 1 3 5 2
"5. razred" "Ženske" "14 let" "ponavljavci" 4 6 8 12 2
"5. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" - 1 - - 1
"5. razred" "Ženske" "15 let" "prviè vpisani v razred" - - - - 1
"5. razred" "Ženske" "15 let" "ponavljavci" - 1 - - -
"5. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"5. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - - -
"5. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 18548 19548 20527 22378 22014
"6. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 18242 19255 20172 21900 21916
"6. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 306 293 355 478 98
"6. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"6. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - - - -
"6. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" - - - - -
"6. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" - - - - 3
"6. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" - - - - 3
"6. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" 63 66 73 53 58
"6. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" 63 66 73 53 58
"6. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" - - - - -
"6. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 16754 17655 18438 19915 19582
"6. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 16754 17654 18436 19863 19581
"6. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" - 1 2 52 1
"6. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 1492 1573 1734 2062 2110
"6. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 1294 1386 1503 1790 2066
"6. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 198 187 231 272 44
"6. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 164 198 221 260 211
"6. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 97 124 136 158 173
"6. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 67 74 85 102 38
"6. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 62 48 54 77 41
"6. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 28 23 23 33 30
"6. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 34 25 31 44 11
"6. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 11 8 7 10 9
"6. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 4 2 1 3 5
"6. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 7 6 6 7 4
"6. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 2 - - 1 -
"6. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" 2 - - - -
"6. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" - - - 1 -
"6. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 9640 10058 10603 11376 11350
"6. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 9428 9852 10353 11074 11291
"6. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 212 206 250 302 59
"6. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"6. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"6. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Moški" "7 let" "prviè vpisani v razred" - - - - -
"6. razred" "Moški" "7 let" "ponavljavci" - - - - -
"6. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Moški" "8 let" "prviè vpisani v razred" - - - - -
"6. razred" "Moški" "8 let" "ponavljavci" - - - - -
"6. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" - - - - 1
"6. razred" "Moški" "9 let" "prviè vpisani v razred" - - - - 1
"6. razred" "Moški" "9 let" "ponavljavci" - - - - -
"6. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" 30 27 31 23 22
"6. razred" "Moški" "10 let" "prviè vpisani v razred" 30 27 31 23 22
"6. razred" "Moški" "10 let" "ponavljavci" - - - - -
"6. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 8498 8879 9251 9867 9848
"6. razred" "Moški" "11 let" "prviè vpisani v razred" 8498 8878 9251 9846 9847
"6. razred" "Moški" "11 let" "ponavljavci" - 1 - 21 1
"6. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 944 985 1132 1263 1308
"6. razred" "Moški" "12 let" "prviè vpisani v razred" 810 852 967 1083 1280
"6. razred" "Moški" "12 let" "ponavljavci" 134 133 165 180 28
"6. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 118 132 152 166 140
"6. razred" "Moški" "13 let" "prviè vpisani v razred" 67 82 91 99 120
"6. razred" "Moški" "13 let" "ponavljavci" 51 50 61 67 20
"6. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 44 29 34 53 27
"6. razred" "Moški" "14 let" "prviè vpisani v razred" 20 12 12 23 20
"6. razred" "Moški" "14 let" "ponavljavci" 24 17 22 30 7
"6. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 4 6 3 3 4
"6. razred" "Moški" "15 let" "prviè vpisani v razred" 1 1 1 - 1
"6. razred" "Moški" "15 let" "ponavljavci" 3 5 2 3 3
"6. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 2 - - 1 -
"6. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" 2 - - - -
"6. razred" "Moški" "16 let ali veè" "ponavljavci" - - - 1 -
"6. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8908 9490 9924 11002 10664
"6. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 8814 9403 9819 10826 10625
"6. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 94 87 105 176 39
"6. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"6. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"6. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Ženske" "7 let" "prviè vpisani v razred" - - - - -
"6. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"6. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Ženske" "8 let" "prviè vpisani v razred" - - - - -
"6. razred" "Ženske" "8 let" "ponavljavci" - - - - -
"6. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" - - - - 2
"6. razred" "Ženske" "9 let" "prviè vpisani v razred" - - - - 2
"6. razred" "Ženske" "9 let" "ponavljavci" - - - - -
"6. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" 33 39 42 30 36
"6. razred" "Ženske" "10 let" "prviè vpisani v razred" 33 39 42 30 36
"6. razred" "Ženske" "10 let" "ponavljavci" - - - - -
"6. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 8256 8776 9187 10048 9734
"6. razred" "Ženske" "11 let" "prviè vpisani v razred" 8256 8776 9185 10017 9734
"6. razred" "Ženske" "11 let" "ponavljavci" - - 2 31 -
"6. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 548 588 602 799 802
"6. razred" "Ženske" "12 let" "prviè vpisani v razred" 484 534 536 707 786
"6. razred" "Ženske" "12 let" "ponavljavci" 64 54 66 92 16
"6. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 46 66 69 94 71
"6. razred" "Ženske" "13 let" "prviè vpisani v razred" 30 42 45 59 53
"6. razred" "Ženske" "13 let" "ponavljavci" 16 24 24 35 18
"6. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 18 19 20 24 14
"6. razred" "Ženske" "14 let" "prviè vpisani v razred" 8 11 11 10 10
"6. razred" "Ženske" "14 let" "ponavljavci" 10 8 9 14 4
"6. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 7 2 4 7 5
"6. razred" "Ženske" "15 let" "prviè vpisani v razred" 3 1 - 3 4
"6. razred" "Ženske" "15 let" "ponavljavci" 4 1 4 4 1
"6. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" - - - - -
"6. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" - - - - -
"6. razred" "Ženske" "16 let ali veè" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 18137 18498 19505 20463 22325
"7. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 17926 18283 19255 20158 22208
"7. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 211 215 250 305 117
"7. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"7. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - - - -
"7. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" - - - - -
"7. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" - - - - -
"7. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" - - - - -
"7. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 58 64 69 73 53
"7. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 58 64 69 73 53
"7. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" - - - - -
"7. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 16489 16618 17453 18191 19904
"7. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 16485 16617 17451 18136 19904
"7. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" 4 1 2 55 -
"7. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 1358 1556 1669 1842 2039
"7. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 1234 1444 1547 1717 1985
"7. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" 124 112 122 125 54
"7. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 192 213 277 307 277
"7. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 132 133 168 201 225
"7. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 60 80 109 106 52
"7. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 32 40 34 46 50
"7. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 11 23 19 28 39
"7. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 21 17 15 18 11
"7. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 8 7 3 4 2
"7. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" 6 2 1 3 2
"7. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" 2 5 2 1 -
"7. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 9254 9572 9991 10527 11350
"7. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 9107 9436 9826 10347 11269
"7. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 147 136 165 180 81
"7. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"7. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"7. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Moški" "7 let" "prviè vpisani v razred" - - - - -
"7. razred" "Moški" "7 let" "ponavljavci" - - - - -
"7. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Moški" "8 let" "prviè vpisani v razred" - - - - -
"7. razred" "Moški" "8 let" "ponavljavci" - - - - -
"7. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Moški" "9 let" "prviè vpisani v razred" - - - - -
"7. razred" "Moški" "9 let" "ponavljavci" - - - - -
"7. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Moški" "10 let" "prviè vpisani v razred" - - - - -
"7. razred" "Moški" "10 let" "ponavljavci" - - - - -
"7. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" 16 31 28 31 22
"7. razred" "Moški" "11 let" "prviè vpisani v razred" 16 31 28 31 22
"7. razred" "Moški" "11 let" "ponavljavci" - - - - -
"7. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 8174 8374 8723 9081 9851
"7. razred" "Moški" "12 let" "prviè vpisani v razred" 8170 8374 8723 9054 9851
"7. razred" "Moški" "12 let" "ponavljavci" 4 - - 27 -
"7. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 915 983 1028 1181 1264
"7. razred" "Moški" "13 let" "prviè vpisani v razred" 827 914 950 1105 1222
"7. razred" "Moški" "13 let" "ponavljavci" 88 69 78 76 42
"7. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 124 153 185 199 182
"7. razred" "Moški" "14 let" "prviè vpisani v razred" 86 99 112 135 148
"7. razred" "Moški" "14 let" "ponavljavci" 38 54 73 64 34
"7. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 23 26 24 32 31
"7. razred" "Moški" "15 let" "prviè vpisani v razred" 7 16 12 20 26
"7. razred" "Moški" "15 let" "ponavljavci" 16 10 12 12 5
"7. razred" "Moški" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 2 5 3 3 -
"7. razred" "Moški" "16 let ali veè" "prviè vpisani v razred" 1 2 1 2 -
"7. razred" "Moški" "16 let ali veè" "ponavljavci" 1 3 2 1 -
"7. razred" "Ženske" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8883 8926 9514 9936 10975
"7. razred" "Ženske" "Starost - SKUPAJ" "prviè vpisani v razred" 8819 8847 9429 9811 10939
"7. razred" "Ženske" "Starost - SKUPAJ" "ponavljavci" 64 79 85 125 36
"7. razred" "Ženske" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Ženske" "6 let ali manj" "prviè vpisani v razred" - - - - -
"7. razred" "Ženske" "6 let ali manj" "ponavljavci" - - - - -
"7. razred" "Ženske" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Ženske" "7 let" "prviè vpisani v razred" - - - - -
"7. razred" "Ženske" "7 let" "ponavljavci" - - - - -
"7. razred" "Ženske" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Ženske" "8 let" "prviè vpisani v razred" - - - - -
"7. razred" "Ženske" "8 let" "ponavljavci" - - - - -
"7. razred" "Ženske" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Ženske" "9 let" "prviè vpisani v razred" - - - - -
"7. razred" "Ženske" "9 let" "ponavljavci" - - - - -
"7. razred" "Ženske" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"7. razred" "Ženske" "10 let" "prviè vpisani v razred" - - - - -
"7. razred" "Ženske" "10 let" "ponavljavci" - - - - -
"7. razred" "Ženske" "11 let" "Vrsta vpisa - SKUPAJ" 42 33 41 42 31
"7. razred" "Ženske" "11 let" "prviè vpisani v razred" 42 33 41 42 31
"7. razred" "Ženske" "11 let" "ponavljavci" - - - - -
"7. razred" "Ženske" "12 let" "Vrsta vpisa - SKUPAJ" 8315 8244 8730 9110 10053
"7. razred" "Ženske" "12 let" "prviè vpisani v razred" 8315 8243 8728 9082 10053
"7. razred" "Ženske" "12 let" "ponavljavci" - 1 2 28 -
"7. razred" "Ženske" "13 let" "Vrsta vpisa - SKUPAJ" 443 573 641 661 775
"7. razred" "Ženske" "13 let" "prviè vpisani v razred" 407 530 597 612 763
"7. razred" "Ženske" "13 let" "ponavljavci" 36 43 44 49 12
"7. razred" "Ženske" "14 let" "Vrsta vpisa - SKUPAJ" 68 60 92 108 95
"7. razred" "Ženske" "14 let" "prviè vpisani v razred" 46 34 56 66 77
"7. razred" "Ženske" "14 let" "ponavljavci" 22 26 36 42 18
"7. razred" "Ženske" "15 let" "Vrsta vpisa - SKUPAJ" 9 14 10 14 19
"7. razred" "Ženske" "15 let" "prviè vpisani v razred" 4 7 7 8 13
"7. razred" "Ženske" "15 let" "ponavljavci" 5 7 3 6 6
"7. razred" "Ženske" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 6 2 - 1 2
"7. razred" "Ženske" "16 let ali veè" "prviè vpisani v razred" 5 - - 1 2
"7. razred" "Ženske" "16 let ali veè" "ponavljavci" 1 2 - - -
"8. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 17518 18107 18460 19375 20308
"8. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "prviè vpisani v razred" 17294 17886 18235 19119 20229
"8. razred" "Spol - SKUPAJ" "Starost - SKUPAJ" "ponavljavci" 224 221 225 256 79
"8. razred" "Spol - SKUPAJ" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Spol - SKUPAJ" "6 let ali manj" "prviè vpisani v razred" - - - - -
"8. razred" "Spol - SKUPAJ" "6 let ali manj" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Spol - SKUPAJ" "7 let" "prviè vpisani v razred" - - - - -
"8. razred" "Spol - SKUPAJ" "7 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Spol - SKUPAJ" "8 let" "prviè vpisani v razred" - - - - -
"8. razred" "Spol - SKUPAJ" "8 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Spol - SKUPAJ" "9 let" "prviè vpisani v razred" - - - - -
"8. razred" "Spol - SKUPAJ" "9 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Spol - SKUPAJ" "10 let" "prviè vpisani v razred" - - - - -
"8. razred" "Spol - SKUPAJ" "10 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "11 let" "Vrsta vpisa - SKUPAJ" 1 - 1 - -
"8. razred" "Spol - SKUPAJ" "11 let" "prviè vpisani v razred" 1 - 1 - -
"8. razred" "Spol - SKUPAJ" "11 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "12 let" "Vrsta vpisa - SKUPAJ" 62 58 67 70 75
"8. razred" "Spol - SKUPAJ" "12 let" "prviè vpisani v razred" 62 58 67 70 75
"8. razred" "Spol - SKUPAJ" "12 let" "ponavljavci" - - - - -
"8. razred" "Spol - SKUPAJ" "13 let" "Vrsta vpisa - SKUPAJ" 15851 16400 16562 17331 18228
"8. razred" "Spol - SKUPAJ" "13 let" "prviè vpisani v razred" 15851 16398 16559 17289 18227
"8. razred" "Spol - SKUPAJ" "13 let" "ponavljavci" - 2 3 42 1
"8. razred" "Spol - SKUPAJ" "14 let" "Vrsta vpisa - SKUPAJ" 1443 1502 1688 1809 1808
"8. razred" "Spol - SKUPAJ" "14 let" "prviè vpisani v razred" 1256 1316 1498 1625 1752
"8. razred" "Spol - SKUPAJ" "14 let" "ponavljavci" 187 186 190 184 56
"8. razred" "Spol - SKUPAJ" "15 let" "Vrsta vpisa - SKUPAJ" 139 134 128 153 178
"8. razred" "Spol - SKUPAJ" "15 let" "prviè vpisani v razred" 109 102 98 125 160
"8. razred" "Spol - SKUPAJ" "15 let" "ponavljavci" 30 32 30 28 18
"8. razred" "Spol - SKUPAJ" "16 let ali veè" "Vrsta vpisa - SKUPAJ" 22 13 14 12 19
"8. razred" "Spol - SKUPAJ" "16 let ali veè" "prviè vpisani v razred" 15 12 12 10 15
"8. razred" "Spol - SKUPAJ" "16 let ali veè" "ponavljavci" 7 1 2 2 4
"8. razred" "Moški" "Starost - SKUPAJ" "Vrsta vpisa - SKUPAJ" 8991 9229 9519 9926 10411
"8. razred" "Moški" "Starost - SKUPAJ" "prviè vpisani v razred" 8835 9079 9379 9759 10361
"8. razred" "Moški" "Starost - SKUPAJ" "ponavljavci" 156 150 140 167 50
"8. razred" "Moški" "6 let ali manj" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Moški" "6 let ali manj" "prviè vpisani v razred" - - - - -
"8. razred" "Moški" "6 let ali manj" "ponavljavci" - - - - -
"8. razred" "Moški" "7 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Moški" "7 let" "prviè vpisani v razred" - - - - -
"8. razred" "Moški" "7 let" "ponavljavci" - - - - -
"8. razred" "Moški" "8 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Moški" "8 let" "prviè vpisani v razred" - - - - -
"8. razred" "Moški" "8 let" "ponavljavci" - - - - -
"8. razred" "Moški" "9 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Moški" "9 let" "prviè vpisani v razred" - - - - -
"8. razred" "Moški" "9 let" "ponavljavci" - - - - -
"8. razred" "Moški" "10 let" "Vrsta vpisa - SKUPAJ" - - - - -
"8. razred" "Moški" "10 let" "prviè vpisani v razred" - - - - -
"8. razred" "Moški" "10 let" "ponavljavci" - - - - -
"8. razred" "Moški" "11 let" "Vrsta vpisa - SKUPAJ" - - 1 - -
"8. razred" "Moški" "11 let" "prviè vpisani v razred" - - 1 - -
"8. razred" "Moški" "11 let" "ponavljavci" - - - - -
"8. razred" "Moški" "12 let" "Vrsta vpisa - SKUPAJ" 23 16 32 30 33
"8. razred" "Moški" "12 let" "prviè vpisani v razred" 23 16 32 30 33
"8. razred" "Moški" "12 let" "ponavljavci" - - - - -
"8. razred" "Moški" "13 let" "Vrsta vpisa - SKUPAJ" 7931 8123 8336 8655 9087
"8. razred" "Moški" "13 let" "prviè vpisani v razred" 7931 8121 8336 8631 9087
"8. razred" "Moški" "13 let" "ponavljavci" - 2 - 24 -
"8. razred" "Moški" "14 let" "Vrsta vpisa - SKUPAJ" 931 1002 1054 1131 1164
"8. razred" "Moški" "14 let" "prviè vpisani v razred" 801 880 932 1010 1127
"8. razred" "Moški" "14 let" "ponavljavci" 130 122 122 121 37
"8. razred" "Moški" "15 let" "Vrsta vpisa - SKUPAJ" 92 82 86 102 118
"8. razred" "Moški" "15 let" "prviè vpisani v razred" 71 57 69 81 106
"8. razred" "Moški" "15 let" "ponavljavci" 21 25 17 21 12
